Lokalitet;name;Dybde;Notat
Rikmyr SV for Kvalstadvatnet;91;346;
Rikmyr SV for Kvalstadvatnet;92;394;
Rikmyr SV for Kvalstadvatnet;93;74;
Rikmyr SV for Kvalstadvatnet;94;49;myrkant
Rikmyr SV for Kvalstadvatnet;95;43;myrkant
Rikmyr SV for Kvalstadvatnet;96;188;stein i bunn
Rikmyr SV for Kvalstadvatnet;97;396;stein i bunn
Rikmyr SV for Kvalstadvatnet;98;441;grus i bunn
Rikmyr SV for Kvalstadvatnet;99;402;hardt å presse ned, leire I bunn?
Rikmyr SV for Kvalstadvatnet;100;338;grus I bunn, 5 m fra kant
Rikmyr SV for Kvalstadvatnet;101;100;fortsatt myr, ikke fastmark, men ikke rikmyr, skogkledd myrkant
Rikmyr SV for Kvalstadvatnet;102;324;3m fra kant av rikmyr, avgrenser her
Rikmyr SV for Kvalstadvatnet;103;470;
Rikmyr SV for Kvalstadvatnet;104;398;
Rikmyr SV for Kvalstadvatnet;105;260;
Rikmyr SV for Kvalstadvatnet;106;188;myrkant
Rikmyr SV for Kvalstadvatnet;107;0;kant, einer og heller oppover
Rikmyr SV for Kvalstadvatnet;108;65;myrkant, 2 m fra fastmark
Rikmyr SV for Kvalstadvatnet;109;313;
Rikmyr SV for Kvalstadvatnet;111;130;bekk 1 m ø, brukes som avgrensing av polygon
Rikmyr SV for Kvalstadvatnet;112;339;ved bekk
Rikmyr SV for Kvalstadvatnet;113;296;2 m fra bekk i s, settes som grense
Rikmyr SV for Kvalstadvatnet;114;267;fjell I bunn
Rikmyr SV for Kvalstadvatnet;115;150;12m-ish fra kant i Ø
Rikmyr SV for Kvalstadvatnet;116;227;i myrkant, 10 m fra kant i Ø
Rikmyr SV for Kvalstadvatnet;117;270;I myrkant, avgrenses ca 10m ø og s
Rikmyr SV for Kvalstadvatnet;120;376;grensa for rikmyra her, på grus
Rikmyr SV for Kvalstadvatnet;121;411;
Rikmyr SV for Kvalstadvatnet;122;450;
Rikmyr SV for Kvalstadvatnet;123;282;
Rikmyr SV for Kvalstadvatnet;124;124;
Rikmyr SV for Kvalstadvatnet;125;164;i kantskog, avgrenses her
Rikmyr SV for Kvalstadvatnet;126;96;i kantskog, avgrenses her
Rikmyr SV for Kvalstadvatnet;127;118;i myrkant, kanskje 5-6 m til kant
Rikmyr SV for Kvalstadvatnet;128;118;i myrkant, kanskje 5-6 m til kant
Rikmyr SV for Kvalstadvatnet;129;208;i myrkant, avgrenser polygon her
