name;ele;time;Lokalitet;Dybde;Notat;x;y;z
11;16.29;2021/08/18 11:06:33.000;Marøy;192;;5.103082;61.50788;16.29
12;15.159;2021/08/18 11:13:17.000;Marøy;152;;5.103043;61.508058;15.159
13;13.706;2021/08/18 11:15:03.000;Marøy;38;;5.103004;61.508244;13.706
14;12.744;2021/08/18 11:17:00.000;Marøy;108;;5.103;61.50843;12.744
15;9.192;2021/08/18 11:18:53.000;Marøy;67;;5.102899;61.508604;9.192
16;8.484;2021/08/18 11:21:05.000;Marøy;32;;5.102523;61.50855;8.484
17;12.573;2021/08/18 11:22:39.000;Marøy;122;;5.10264;61.508378;12.573
18;13.376;2021/08/18 11:24:30.000;Marøy;57;;5.102723;61.508197;13.376
19;14.606;2021/08/18 11:25:46.000;Marøy;59;;5.102812;61.508023;14.606
20;15.032;2021/08/18 11:27:05.000;Marøy;188;;5.102908;61.507845;15.032
21;15.353;2021/08/18 11:29:47.000;Marøy;165;;5.103176;61.507709;15.353
22;15.641;2021/08/18 11:31:24.000;Marøy;133;;5.103221;61.507537;15.641
23;16.085;2021/08/18 11:34:05.000;Marøy;37;;5.10323;61.507358;16.085
24;15.253;2021/08/18 11:35:20.000;Marøy;0;fastmark;5.103228;61.507356;15.253
25;16.342;2021/08/18 11:36:24.000;Marøy;0;fastmark;5.103241;61.507304;16.342
26;16.086;2021/08/18 11:37:18.000;Marøy;56;;5.103272;61.507258;16.086
27;16.593;2021/08/18 11:38:12.000;Marøy;0;fastmark;5.103308;61.507205;16.593
28;13.035;2021/08/18 11:39:44.000;Marøy;40;;5.103675;61.50715;13.035
29;14.834;2021/08/18 11:41:10.000;Marøy;69;;5.103676;61.507334;14.834
30;14.384;2021/08/18 11:42:42.000;Marøy;148;tue;5.103735;61.507511;14.384
31;14.139;2021/08/18 11:44:16.000;Marøy;223;;5.103646;61.507689;14.139
32;11.392;2021/08/18 11:48:18.000;Marøy;240;torvprøver 1-4;5.103593;61.507872;11.392
33;13.713;2021/08/18 11:50:05.000;Marøy;172;;5.103581;61.508046;13.713
34;13.648;2021/08/18 11:51:29.000;Marøy;175;tue;5.103621;61.508218;13.648
35;12.981;2021/08/18 11:53:02.000;Marøy;0;rett i stein;5.103617;61.508403;12.981
36;10.808;2021/08/18 11:55:27.000;Marøy;48;;5.103977;61.508345;10.808
37;13.512;2021/08/18 11:58:58.000;Marøy;206;;5.104034;61.508174;13.512
38;14.356;2021/08/18 12:00:55.000;Marøy;222;;5.104037;61.508007;14.356
39;13.742;2021/08/18 12:02:34.000;Marøy;86;;5.104049;61.507841;13.742
40;14.845;2021/08/18 12:04:16.000;Marøy;211;;5.104105;61.507674;14.845
41;14.384;2021/08/18 12:05:46.000;Marøy;188;;5.104146;61.507495;14.384
42;14.541;2021/08/18 12:07:12.000;Marøy;94;;5.104242;61.50733;14.541
43;13.983;2021/08/18 12:09:02.000;Marøy;54;;5.104296;61.507154;13.983
44;15.359;2021/08/18 12:10:53.000;Marøy;45;kant;5.104346;61.50699;15.359
45;16.426;2021/08/18 12:11:49.000;Marøy;0;fastmark;5.104349;61.506982;16.426
46;15.613;2021/08/18 12:12:57.000;Marøy;37;;5.104558;61.507013;15.613
48;17.283;2021/08/18 12:13:57.000;Marøy;0;fastmark, kant;5.104728;61.507018;17.283
49;17.732;2021/08/18 12:16:57.000;Marøy;0;fastmark;5.10479;61.506988;17.732
51;15.224;2021/08/18 12:18:16.000;Marøy;0;fastmark, kant;5.104846;61.507087;15.224
52;13.723;2021/08/18 12:18:39.000;Marøy;94;;5.104846;61.507171;13.723
53;14.386;2021/08/18 12:20:13.000;Marøy;74;;5.104937;61.507344;14.386
54;14.412;2021/08/18 12:21:36.000;Marøy;38;;5.104974;61.507526;14.412
55;14.929;2021/08/18 12:23:19.000;Marøy;28;;5.105071;61.507707;14.929
56;14.412;2021/08/18 12:24:38.000;Marøy;162;;5.105174;61.50788;14.412
57;14.11;2021/08/18 12:26:01.000;Marøy;100;;5.105271;61.508054;14.11
58;12.987;2021/08/18 12:27:50.000;Marøy;58;;5.105329;61.508225;12.987
59;13.3;2021/08/18 12:30:47.000;Marøy;46;;5.104808;61.508226;13.3
60;10.142;2021/08/18 12:33:51.000;Marøy;57;kant;5.104883;61.508414;10.142
61;14.318;2021/08/18 12:36:36.000;Marøy;163;tue, racomitrium;5.104621;61.508055;14.318
62;13.461;2021/08/18 12:38:33.000;Marøy;85;;5.104563;61.507881;13.461
63;14.459;2021/08/18 12:41:06.000;Marøy;282;fjell i bunn, torvprøve;5.104531;61.507698;14.459
64;16.146;2021/08/18 12:45:28.000;Marøy;0;fastmark, kant;5.104979;61.506998;16.146
65;15.575;2021/08/18 12:45:53.000;Marøy;53;myr, kant;5.105211;61.507037;15.575
66;15.448;2021/08/18 12:47:49.000;Marøy;86;;5.105343;61.507221;15.448
67;14.233;2021/08/18 12:49:27.000;Marøy;159;;5.10534;61.507406;14.233
68;11.594;2021/08/18 12:50:46.000;Marøy;73;;5.105348;61.507591;11.594
69;12.738;2021/08/18 12:53:24.000;Marøy;96;;5.10538;61.507765;12.738
70;12.576;2021/08/18 12:54:41.000;Marøy;222;fjell i bunn;5.105366;61.507952;12.576
71;12.185;2021/08/18 12:56:20.000;Marøy;76;;5.105494;61.508118;12.185
72;10.824;2021/08/18 12:57:28.000;Marøy;59;få med fra kant, kantmyr;5.105542;61.508304;10.824
73;10.953;2021/08/18 12:59:36.000;Marøy;113;få med fra kant, kantmyr;5.105887;61.50831;10.953
74;12.077;2021/08/18 13:01:14.000;Marøy;85;;5.105868;61.508136;12.077
75;12.738;2021/08/18 13:02:29.000;Marøy;231;;5.105837;61.507956;12.738
76;13.612;2021/08/18 13:04:05.000;Marøy;53;stein under;5.105835;61.507782;13.612
77;14.295;2021/08/18 13:05:44.000;Marøy;94;grus under;5.10584;61.507612;14.295
78;16.25;2021/08/18 13:07:13.000;Marøy;58;;5.1059;61.507445;16.25
79;17.04;2021/08/18 13:08:20.000;Marøy;54;;5.105962;61.507269;17.04
80;17.18;2021/08/18 13:10:30.000;Marøy;32;kant av myra;5.106278;61.507373;17.18
81;15.828;2021/08/18 13:11:58.000;Marøy;31;kant av myra, berg rett opp i ø;5.106206;61.507548;15.828
82;14.401;2021/08/18 13:13:17.000;Marøy;51;;5.106192;61.507721;14.401
83;13.837;2021/08/18 13:14:21.000;Marøy;106;;5.106309;61.507887;13.837
84;13.115;2021/08/18 13:15:32.000;Marøy;75;;5.106334;61.50806;13.115
85;12.54;2021/08/18 13:16:25.000;Marøy;31;;5.106356;61.508245;12.54
86;12.425;2021/08/18 13:17:30.000;Marøy;107;;5.106706;61.508183;12.425
87;11.789;2021/08/18 13:18:29.000;Marøy;102;;5.106986;61.508235;11.789
88;9.906;2021/08/18 13:19:52.000;Marøy;54;ca 15 m til kantene (kanskje 8m i sø);5.10742;61.508294;9.906
89;12.114;2021/08/18 13:22:49.000;Marøy;36;2m fra kant;5.106632;61.508007;12.114
90;14.096;2021/08/18 13:24:04.000;Marøy;52;i kant;5.106491;61.507855;14.096
