;run;power;nn;RMSE;cor;ME;MAE;run2
1;1_1;1;1;0.611702287;0.345682286;-0.05390625;0.46015625;1
2;1_2;1;2;0.550445447;0.367735248;-0.008888377;0.432624334;2
3;1_4;1;4;0.505021613;0.411711755;-0.012254285;0.412422479;3
4;1_6;1;6;0.492409365;0.441601988;-0.014531991;0.396348714;4
5;1_8;1;8;0.486276942;0.455911576;-0.018093168;0.396636696;5
6;1_10;1;10;0.480417741;0.466902104;-0.0125699;0.393365412;6
7;1_12;1;12;0.481672372;0.460170985;-0.016104451;0.39645773;7
8;1_14;1;14;0.4808146;0.461549523;-0.016434277;0.395771045;8
9;1_16;1;16;0.48641792;0.441103461;-0.016399113;0.399123858;9
10;1_18;1;18;0.486876306;0.43877001;-0.01542557;0.399056379;10
11;1_20;1;20;0.48819058;0.433513405;-0.013731271;0.398965502;11
12;1_22;1;22;0.489109669;0.429666012;-0.011520899;0.399485207;12
13;1_24;1;24;0.489630264;0.427540975;-0.010438538;0.397849534;13
14;1_26;1;26;0.49189258;0.418845917;-0.011647183;0.400479403;14
15;1_28;1;28;0.489144547;0.429570924;-0.012540245;0.398790407;15
16;1_30;1;30;0.490741084;0.424004782;-0.01757682;0.400925453;16
17;1_64;1;64;0.499108846;0.399957439;-0.013484665;0.411848605;17
18;2_1;2;1;0.611702287;0.345682286;-0.05390625;0.46015625;18
19;2_2;2;2;0.553237068;0.369838533;-0.013023981;0.435637706;19
20;2_4;2;4;0.514126673;0.40379433;-0.015219674;0.422087078;20
21;2_6;2;6;0.503274115;0.425511993;-0.017345965;0.409212711;21
22;2_8;2;8;0.497729573;0.434421647;-0.018140903;0.407407096;22
23;2_10;2;10;0.494143023;0.439229189;-0.015844488;0.404581339;23
24;2_12;2;12;0.494179676;0.43541629;-0.018323514;0.404371234;24
25;2_14;2;14;0.493193759;0.434961721;-0.017752549;0.404457371;25
26;2_16;2;16;0.49497167;0.427329457;-0.018960912;0.405976935;26
27;2_18;2;18;0.494557933;0.426801799;-0.019519212;0.406216359;27
28;2_20;2;20;0.494966323;0.424358397;-0.018967157;0.406139212;28
29;2_22;2;22;0.495151984;0.422807271;-0.01900962;0.405968972;29
30;2_24;2;24;0.494927028;0.422804722;-0.019376831;0.405660815;30
31;2_26;2;26;0.495612189;0.420062604;-0.019800707;0.406229688;31
32;2_28;2;28;0.494698007;0.422365852;-0.019623873;0.405384888;32
33;2_30;2;30;0.495102442;0.420482614;-0.020596262;0.405435077;33
34;2_64;2;64;0.495269323;0.415743646;-0.02185559;0.405220104;34
35;3_1;3;1;0.611702287;0.345682286;-0.05390625;0.46015625;35
36;3_2;3;2;0.560845842;0.365112478;-0.017600088;0.439284289;36
37;3_4;3;4;0.528231381;0.390667221;-0.019856375;0.428814338;37
38;3_6;3;6;0.519163345;0.406468235;-0.021338063;0.42023876;38
39;3_8;3;8;0.514784235;0.411877526;-0.021570755;0.418908467;39
40;3_10;3;10;0.512526628;0.41432671;-0.020352728;0.417231246;40
41;3_12;3;12;0.512549817;0.411908358;-0.021677858;0.417602332;41
42;3_14;3;14;0.511781069;0.411487246;-0.021131922;0.417334749;42
43;3_16;3;16;0.512120742;0.409090326;-0.021836581;0.417576056;43
44;3_18;3;18;0.511868432;0.408641064;-0.022202212;0.417977052;44
45;3_20;3;20;0.511895152;0.40775539;-0.021986022;0.417997957;45
46;3_22;3;22;0.511861538;0.407273988;-0.022149417;0.418006129;46
47;3_24;3;24;0.511623489;0.407422045;-0.022352066;0.41779292;47
48;3_26;3;26;0.511688261;0.406817287;-0.022435716;0.417880304;48
49;3_28;3;28;0.511422359;0.407240419;-0.022344126;0.417682391;49
50;3_30;3;30;0.51148724;0.406735779;-0.022528274;0.417681256;50
51;3_64;3;64;0.511055645;0.406375094;-0.023120755;0.417316484;51
52;4_1;4;1;0.611702287;0.345682286;-0.05390625;0.46015625;52
53;4_2;4;2;0.568900416;0.359326152;-0.021844213;0.442600932;53
54;4_4;4;4;0.542852637;0.378294239;-0.024718514;0.434503491;54
55;4_6;4;6;0.536266453;0.388722382;-0.025855001;0.429500885;55
56;4_8;4;8;0.533305059;0.391871863;-0.026058564;0.428115688;56
57;4_10;4;10;0.532039836;0.393169221;-0.025460769;0.427149676;57
58;4_12;4;12;0.532165913;0.391817519;-0.026151182;0.427521751;58
59;4_14;4;14;0.53174762;0.391652545;-0.025832258;0.427346734;59
60;4_16;4;16;0.531777408;0.390964179;-0.026140107;0.427433756;60
61;4_18;4;18;0.531718787;0.390672474;-0.026298027;0.427740248;61
62;4_20;4;20;0.531689785;0.390412731;-0.026210498;0.427749891;62
63;4_22;4;22;0.53165338;0.390307665;-0.026279958;0.427729661;63
64;4_24;4;24;0.531557953;0.390372463;-0.026340203;0.42766162;64
65;4_26;4;26;0.531542055;0.3902621;-0.026343844;0.427666124;65
66;4_28;4;28;0.531479772;0.390337563;-0.026314624;0.427616296;66
67;4_30;4;30;0.53149359;0.39021988;-0.026347246;0.427633674;67
68;4_64;4;64;0.531369254;0.390226689;-0.026457272;0.427552185;68
