"","run","power","nn","volume"
"1","1_1",1,1,76733.9
"2","1_2",1,2,77305.7242024438
"3","1_4",1,4,77734.1708374644
"4","1_6",1,6,77971.8939359907
"5","1_8",1,8,78464.8678275921
"6","1_10",1,10,78887.5075584879
"7","1_12",1,12,79187.6870806747
"8","1_14",1,14,79485.5028765186
"9","1_16",1,16,79819.8069831437
"10","1_18",1,18,80167.385854882
"11","1_20",1,20,80507.0208840105
"12","1_22",1,22,80763.2471197102
"13","1_24",1,24,80994.6314640451
"14","1_26",1,26,81212.6080581552
"15","1_28",1,28,81400.1921320804
"16","1_30",1,30,81505.7507372461
"17","1_104",1,104,79104.8401186576
"18","2_1",2,1,76733.9
"19","2_2",2,2,77153.9252320441
"20","2_4",2,4,77486.4812297849
"21","2_6",2,6,77596.8404631962
"22","2_8",2,8,77815.9621869637
"23","2_10",2,10,78002.742901496
"24","2_12",2,12,78129.7076969273
"25","2_14",2,14,78240.0380894739
"26","2_16",2,16,78357.6899585775
"27","2_18",2,18,78483.929557676
"28","2_20",2,20,78598.0632842866
"29","2_22",2,22,78687.3762666152
"30","2_24",2,24,78756.8099294897
"31","2_26",2,26,78817.0284612546
"32","2_28",2,28,78863.8123865345
"33","2_30",2,30,78889.3859711174
"34","2_104",2,104,78420.2345056355
"35","3_1",3,1,76733.9
"36","3_2",3,2,77033.145180016
"37","3_4",3,4,77288.4628677002
"38","3_6",3,6,77343.4348950691
"39","3_8",3,8,77443.2060341651
"40","3_10",3,10,77526.0992986289
"41","3_12",3,12,77579.345624913
"42","3_14",3,14,77618.4632825642
"43","3_16",3,16,77657.6902857525
"44","3_18",3,18,77699.5851217184
"45","3_20",3,20,77734.9783696116
"46","3_22",3,22,77762.5649907926
"47","3_24",3,24,77780.9694630031
"48","3_26",3,26,77794.5972234477
"49","3_28",3,28,77803.1498920107
"50","3_30",3,30,77807.6183616473
"51","3_104",3,104,77753.8924675288
"52","4_1",4,1,76733.9
"53","4_2",4,2,76943.857749876
"54","4_4",4,4,77138.5561670913
"55","4_6",4,6,77168.0235242724
"56","4_8",4,8,77216.789072984
"57","4_10",4,10,77255.5133939572
"58","4_12",4,12,77279.4628214733
"59","4_14",4,14,77295.2164142708
"60","4_16",4,16,77309.9451468736
"61","4_18",4,18,77324.9527206423
"62","4_20",4,20,77336.9668581479
"63","4_22",4,22,77346.2002171758
"64","4_24",4,24,77351.9593077415
"65","4_26",4,26,77355.8386405271
"66","4_28",4,28,77358.0458304864
"67","4_30",4,30,77359.4733007356
"68","4_104",4,104,77361.3440614398
